refdes,pin,voltage,current
J1,1,35.98,20.0
J1,2,0.0,-20.0
J4,pdna_pin_1_1,35.8678,-5.01362
J4,pdna_pin_1_2,35.8673,-4.98532
J4,pdna_pin_1_3,35.8679,-5.01521
J4,pdna_pin_1_4,35.8673,-4.98585
J5,pdna_pin_1_1,0.10472,4.99097
J5,pdna_pin_1_2,0.104179,5.01801
J5,pdna_pin_1_3,0.10487,4.98348
J5,pdna_pin_1_4,0.104388,5.00754
Q1,8,35.9604,-4.92523
Q1,7,35.9607,-4.96943
Q1,6,35.961,-5.00961
Q1,5,35.9616,-5.09573
Q1,1,35.8781,6.77994
Q1,2,35.8791,6.63827
Q1,3,35.8795,6.5818
Q4,1,0.0158651,6.72499
Q4,2,0.0164216,6.64581
Q4,3,0.0165384,6.6292
Q4,8,0.0986198,-5.04621
Q4,7,0.0982023,-4.98681
Q4,6,0.0981021,-4.97255
Q4,5,0.0982559,-4.99443
