x,y,layer1,layer2,voltage1,voltage2,current
71.1049,2539.13,L1_-_PRIMARY,L2_-_GND,0.00794196,0.00791722,0.0916509
71.1049,2539.13,L2_-_GND,L3_-_GND,0.00791722,0.00788717,0.0196136
71.1049,2539.13,L3_-_GND,L4_-_SECONDARY,0.00788717,0.00788717,-6.4264e-15
71.1049,2589,L1_-_PRIMARY,L2_-_GND,0.00795668,0.00795701,-0.00123475
71.1049,2589,L2_-_GND,L3_-_GND,0.00795701,0.00794866,0.00545252
71.1049,2589,L3_-_GND,L4_-_SECONDARY,0.00794866,0.00794866,-6.4264e-15
71.1049,2638.87,L1_-_PRIMARY,L2_-_GND,0.00797193,0.00797553,-0.0133289
71.1049,2638.87,L2_-_GND,L3_-_GND,0.00797553,0.00797325,0.00148227
71.1049,2638.87,L3_-_GND,L4_-_SECONDARY,0.00797325,0.00797325,-6.4264e-15
71.1049,2688.74,L1_-_PRIMARY,L2_-_GND,0.00799458,0.00799469,-0.000419364
71.1049,2688.74,L2_-_GND,L3_-_GND,0.00799469,0.00799386,0.000544669
71.1049,2688.74,L3_-_GND,L4_-_SECONDARY,0.00799386,0.00799386,-6.4264e-15
71.1049,2738.61,L1_-_PRIMARY,L2_-_GND,0.00801047,0.00800911,0.00505699
71.1049,2738.61,L2_-_GND,L3_-_GND,0.00800911,0.00801026,-0.000753543
71.1049,2738.61,L3_-_GND,L4_-_SECONDARY,0.00801026,0.00801026,-6.4264e-15
71.1049,2788.47,L1_-_PRIMARY,L2_-_GND,0.00801607,0.00802278,-0.0248459
71.1049,2788.47,L2_-_GND,L3_-_GND,0.00802278,0.00803066,-0.00514233
71.1049,2788.47,L3_-_GND,L4_-_SECONDARY,0.00803066,0.00803066,-6.4264e-15
71.1049,2838.34,L1_-_PRIMARY,L2_-_GND,0.00802283,0.0080283,-0.0202438
71.1049,2838.34,L2_-_GND,L3_-_GND,0.0080283,0.00803671,-0.00549209
71.1049,2838.34,L3_-_GND,L4_-_SECONDARY,0.00803671,0.00803671,-6.4264e-15
118.349,2716.3,L1_-_PRIMARY,L2_-_GND,0.00800233,0.00801222,-0.0366352
118.349,2716.3,L2_-_GND,L3_-_GND,0.00801222,0.00801653,-0.00281513
118.349,2716.3,L3_-_GND,L4_-_SECONDARY,0.00801653,0.00801653,-6.4264e-15
228.585,1629.68,L1_-_PRIMARY,L2_-_GND,0.00602072,0.00593429,0.320183
228.585,1629.68,L2_-_GND,L3_-_GND,0.00593429,0.00593054,0.0024512
228.585,1629.68,L3_-_GND,L4_-_SECONDARY,0.00593054,0.00593054,-6.4264e-15
228.585,1708.42,L1_-_PRIMARY,L2_-_GND,0.00608799,0.0061213,-0.123395
228.585,1708.42,L2_-_GND,L3_-_GND,0.0061213,0.00617403,-0.0344167
228.585,1708.42,L3_-_GND,L4_-_SECONDARY,0.00617403,0.00617403,-6.4264e-15
267.955,1842.28,L1_-_PRIMARY,L2_-_GND,0.00665342,0.00665342,1.28528e-14
267.955,1842.28,L2_-_GND,L3_-_GND,0.00665342,0.0066684,-0.00978044
267.955,1842.28,L3_-_GND,L4_-_SECONDARY,0.0066684,0.0066684,-6.4264e-15
338.821,1944.64,L1_-_PRIMARY,L2_-_GND,0.0070634,0.0070634,6.4264e-15
338.821,1944.64,L2_-_GND,L3_-_GND,0.0070634,0.00706553,-0.00139204
338.821,1944.64,L3_-_GND,L4_-_SECONDARY,0.00706553,0.00706553,-6.4264e-15
409.688,1629.68,L1_-_PRIMARY,L2_-_GND,0.00607938,0.0060451,0.126979
409.688,1629.68,L2_-_GND,L3_-_GND,0.0060451,0.0060864,-0.0269569
409.688,1629.68,L3_-_GND,L4_-_SECONDARY,0.0060864,0.0060864,-6.4264e-15
409.688,1708.42,L1_-_PRIMARY,L2_-_GND,0.00614787,0.00623527,-0.323768
409.688,1708.42,L2_-_GND,L3_-_GND,0.00623527,0.00633582,-0.0656369
409.688,1708.42,L3_-_GND,L4_-_SECONDARY,0.00633582,0.00633582,-6.4264e-15
527.583,887.771,L1_-_PRIMARY,L2_-_GND,35.98,35.98,-5.39306e-10
527.583,887.771,L2_-_GND,L3_-_GND,35.98,35.98,-9.5032e-11
527.583,887.771,L3_-_GND,L4_-_SECONDARY,35.98,35.98,-0
527.583,1320.84,L1_-_PRIMARY,L2_-_GND,0,0.000263503,-20
527.583,1320.84,L2_-_GND,L3_-_GND,0.000263503,0.000969583,-9.44352
527.583,1320.84,L3_-_GND,L4_-_SECONDARY,0.000969583,0.000969583,-3.29166e-14
554.763,205.079,L1_-_PRIMARY,L2_-_GND,0.00759365,0.00759365,-1.53096e-13
554.763,205.079,L2_-_GND,L3_-_GND,0.00759365,0.00759518,-0.0159163
554.763,205.079,L3_-_GND,L4_-_SECONDARY,0.00759518,0.00759518,1.02064e-13
567.168,1980.08,L1_-_PRIMARY,L2_-_GND,0.00763798,0.00754036,0.361643
567.168,1980.08,L2_-_GND,L3_-_GND,0.00754036,0.00744969,0.0591885
567.168,1980.08,L3_-_GND,L4_-_SECONDARY,0.00744969,0.00744969,-6.4264e-15
567.168,2058.82,L1_-_PRIMARY,L2_-_GND,0.00771997,0.00767265,0.175305
567.168,2058.82,L2_-_GND,L3_-_GND,0.00767265,0.00761183,0.0396992
567.168,2058.82,L3_-_GND,L4_-_SECONDARY,0.00761183,0.00761183,-6.4264e-15
567.168,2137.56,L1_-_PRIMARY,L2_-_GND,0.00777866,0.00776511,0.0502171
567.168,2137.56,L2_-_GND,L3_-_GND,0.00776511,0.00773914,0.0169506
567.168,2137.56,L3_-_GND,L4_-_SECONDARY,0.00773914,0.00773914,-9.63959e-15
578.979,2724.17,L1_-_PRIMARY,L2_-_GND,0.0083834,0.00837057,0.0475438
578.979,2724.17,L2_-_GND,L3_-_GND,0.00837057,0.00833997,0.0199718
578.979,2724.17,L3_-_GND,L4_-_SECONDARY,0.00833997,0.00833997,-6.4264e-15
606.538,2019.45,L1_-_PRIMARY,L2_-_GND,0.00768945,0.00765397,0.131441
606.538,2019.45,L2_-_GND,L3_-_GND,0.00765397,0.0075962,0.037713
606.538,2019.45,L3_-_GND,L4_-_SECONDARY,0.0075962,0.0075962,-6.4264e-15
606.538,2098.19,L1_-_PRIMARY,L2_-_GND,0.0077592,0.00775586,0.0123588
606.538,2098.19,L2_-_GND,L3_-_GND,0.00775586,0.00773472,0.0137982
606.538,2098.19,L3_-_GND,L4_-_SECONDARY,0.00773472,0.00773472,-6.4264e-15
614.412,2683.82,L1_-_PRIMARY,L2_-_GND,0.00839749,0.00838239,0.0559543
614.412,2683.82,L2_-_GND,L3_-_GND,0.00838239,0.00835292,0.0192379
614.412,2683.82,L3_-_GND,L4_-_SECONDARY,0.00835292,0.00835292,-6.4264e-15
645.908,2058.82,L1_-_PRIMARY,L2_-_GND,0.00776563,0.0077546,0.0408677
645.908,2058.82,L2_-_GND,L3_-_GND,0.0077546,0.00773034,0.0158375
