refdes,pin,voltage,current
J1,1,35.98,20.0
J1,2,0.0,-20.0
J5,pdna_pin_1_1,35.8573,-4.99111
J5,pdna_pin_1_2,35.8578,-5.01754
J5,pdna_pin_1_3,35.8572,-4.98384
J5,pdna_pin_1_4,35.8576,-5.00752
J6,pdna_pin_1_1,0.106263,5.0031
J6,pdna_pin_1_2,0.106639,4.98429
J6,pdna_pin_1_3,0.105971,5.0177
J6,pdna_pin_1_4,0.106426,4.99491
Q6,1,0.0177242,6.71847
Q6,2,0.0181667,6.65551
Q6,3,0.018374,6.62602
Q6,8,0.100498,-5.05541
Q6,7,0.100047,-4.99128
Q6,6,0.0998834,-4.96801
Q6,5,0.100005,-4.9853
Q3,8,35.9497,-4.9251
Q3,7,35.95,-4.9694
Q3,6,35.9503,-5.00965
Q3,5,35.9509,-5.09586
Q3,1,35.8673,6.80509
Q3,2,35.8681,6.68004
Q3,3,35.8693,6.51487
