x,y,layer1,layer2,voltage1,voltage2,current
71.1049,2539.13,L1_-_PRIMARY,L2_-_GND,0.00789956,0.00787251,0.100204
71.1049,2539.13,L2_-_GND,L3_-_GND,0.00787251,0.00784528,0.0177792
71.1049,2539.13,L3_-_GND,L4_-_SECONDARY,0.00784528,0.00784528,-6.4264e-15
71.1049,2589,L1_-_PRIMARY,L2_-_GND,0.00791564,0.00791594,-0.00110434
71.1049,2589,L2_-_GND,L3_-_GND,0.00791594,0.00791066,0.00344689
71.1049,2589,L3_-_GND,L4_-_SECONDARY,0.00791066,0.00791066,-6.4264e-15
71.1049,2638.87,L1_-_PRIMARY,L2_-_GND,0.00793236,0.00793631,-0.01461
71.1049,2638.87,L2_-_GND,L3_-_GND,0.00793631,0.00793704,-0.000474684
71.1049,2638.87,L3_-_GND,L4_-_SECONDARY,0.00793704,0.00793704,-6.4264e-15
71.1049,2688.74,L1_-_PRIMARY,L2_-_GND,0.00795721,0.0079574,-0.000692428
71.1049,2688.74,L2_-_GND,L3_-_GND,0.0079574,0.00795934,-0.00126962
71.1049,2688.74,L3_-_GND,L4_-_SECONDARY,0.00795934,0.00795934,-6.4264e-15
71.1049,2738.61,L1_-_PRIMARY,L2_-_GND,0.00797482,0.00797334,0.00547604
71.1049,2738.61,L2_-_GND,L3_-_GND,0.00797334,0.00797727,-0.00256466
71.1049,2738.61,L3_-_GND,L4_-_SECONDARY,0.00797727,0.00797727,-6.4264e-15
71.1049,2788.47,L1_-_PRIMARY,L2_-_GND,0.00798101,0.00798842,-0.0274444
71.1049,2788.47,L2_-_GND,L3_-_GND,0.00798842,0.00799988,-0.00748268
71.1049,2788.47,L3_-_GND,L4_-_SECONDARY,0.00799988,0.00799988,-6.4264e-15
71.1049,2838.34,L1_-_PRIMARY,L2_-_GND,0.00798855,0.00799464,-0.0225633
71.1049,2838.34,L2_-_GND,L3_-_GND,0.00799464,0.00800665,-0.00784126
71.1049,2838.34,L3_-_GND,L4_-_SECONDARY,0.00800665,0.00800665,-6.4264e-15
118.349,2716.3,L1_-_PRIMARY,L2_-_GND,0.00796558,0.00797618,-0.0392653
118.349,2716.3,L2_-_GND,L3_-_GND,0.00797618,0.00798464,-0.00552657
118.349,2716.3,L3_-_GND,L4_-_SECONDARY,0.00798464,0.00798464,-6.4264e-15
228.585,1629.68,L1_-_PRIMARY,L2_-_GND,0.00597341,0.00589302,0.297792
228.585,1629.68,L2_-_GND,L3_-_GND,0.00589302,0.00590119,-0.00533408
228.585,1629.68,L3_-_GND,L4_-_SECONDARY,0.00590119,0.00590119,-6.4264e-15
228.585,1708.42,L1_-_PRIMARY,L2_-_GND,0.00603872,0.00607281,-0.126296
228.585,1708.42,L2_-_GND,L3_-_GND,0.00607281,0.00613378,-0.0397965
228.585,1708.42,L3_-_GND,L4_-_SECONDARY,0.00613378,0.00613378,-9.63959e-15
267.955,1842.28,L1_-_PRIMARY,L2_-_GND,0.00658803,0.00658803,1.6066e-14
267.955,1842.28,L2_-_GND,L3_-_GND,0.00658803,0.0066085,-0.0133633
267.955,1842.28,L3_-_GND,L4_-_SECONDARY,0.0066085,0.0066085,-6.4264e-15
338.821,1944.64,L1_-_PRIMARY,L2_-_GND,0.00698183,0.00698183,6.4264e-15
338.821,1944.64,L2_-_GND,L3_-_GND,0.00698183,0.00699191,-0.00657813
338.821,1944.64,L3_-_GND,L4_-_SECONDARY,0.00699191,0.00699191,-6.4264e-15
409.688,1629.68,L1_-_PRIMARY,L2_-_GND,0.00602187,0.00598644,0.13127
409.688,1629.68,L2_-_GND,L3_-_GND,0.00598644,0.00603533,-0.0319168
409.688,1629.68,L3_-_GND,L4_-_SECONDARY,0.00603533,0.00603533,-6.4264e-15
409.688,1708.42,L1_-_PRIMARY,L2_-_GND,0.00608888,0.00617061,-0.302765
409.688,1708.42,L2_-_GND,L3_-_GND,0.00617061,0.00627636,-0.0690288
409.688,1708.42,L3_-_GND,L4_-_SECONDARY,0.00627636,0.00627636,-6.4264e-15
527.583,887.771,L1_-_PRIMARY,L2_-_GND,35.98,35.98,-5.39306e-10
527.583,887.771,L2_-_GND,L3_-_GND,35.98,35.98,-2.85096e-10
527.583,887.771,L3_-_GND,L4_-_SECONDARY,35.98,35.98,5.39306e-10
527.583,1320.84,L1_-_PRIMARY,L2_-_GND,0,0.000263503,-20
527.583,1320.84,L2_-_GND,L3_-_GND,0.000263503,0.000971212,-9.4653
527.583,1320.84,L3_-_GND,L4_-_SECONDARY,0.000971212,0.000971212,-4.11458e-14
554.763,205.079,L1_-_PRIMARY,L2_-_GND,0.00792057,0.00792057,-0
554.763,205.079,L2_-_GND,L3_-_GND,0.00792057,0.00792296,-0.0248061
554.763,205.079,L3_-_GND,L4_-_SECONDARY,0.00792296,0.00792296,-0
567.168,1980.08,L1_-_PRIMARY,L2_-_GND,0.00749825,0.00740794,0.334561
567.168,1980.08,L2_-_GND,L3_-_GND,0.00740794,0.00733521,0.0474744
567.168,1980.08,L3_-_GND,L4_-_SECONDARY,0.00733521,0.00733521,-6.4264e-15
567.168,2058.82,L1_-_PRIMARY,L2_-_GND,0.00757885,0.00753878,0.148444
567.168,2058.82,L2_-_GND,L3_-_GND,0.00753878,0.00749502,0.0285674
567.168,2058.82,L3_-_GND,L4_-_SECONDARY,0.00749502,0.00749502,-6.4264e-15
567.168,2137.56,L1_-_PRIMARY,L2_-_GND,0.00763902,0.00763452,0.0166495
567.168,2137.56,L2_-_GND,L3_-_GND,0.00763452,0.00762815,0.00416029
567.168,2137.56,L3_-_GND,L4_-_SECONDARY,0.00762815,0.00762815,-6.4264e-15
578.979,2724.17,L1_-_PRIMARY,L2_-_GND,0.00837288,0.00836005,0.0475436
578.979,2724.17,L2_-_GND,L3_-_GND,0.00836005,0.00834264,0.0113659
578.979,2724.17,L3_-_GND,L4_-_SECONDARY,0.00834264,0.00834264,-6.4264e-15
606.538,2019.45,L1_-_PRIMARY,L2_-_GND,0.00754714,0.00751458,0.120632
606.538,2019.45,L2_-_GND,L3_-_GND,0.00751458,0.00747138,0.0282018
606.538,2019.45,L3_-_GND,L4_-_SECONDARY,0.00747138,0.00747138,-6.4264e-15
606.538,2098.19,L1_-_PRIMARY,L2_-_GND,0.00761794,0.00761779,0.000542915
606.538,2098.19,L2_-_GND,L3_-_GND,0.00761779,0.00761152,0.00409603
606.538,2098.19,L3_-_GND,L4_-_SECONDARY,0.00761152,0.00761152,-6.4264e-15
614.412,2683.82,L1_-_PRIMARY,L2_-_GND,0.00838513,0.00836908,0.0594719
614.412,2683.82,L2_-_GND,L3_-_GND,0.00836908,0.00835173,0.0113254
614.412,2683.82,L3_-_GND,L4_-_SECONDARY,0.00835173,0.00835173,-6.4264e-15
645.908,2058.82,L1_-_PRIMARY,L2_-_GND,0.00761743,0.00760831,0.0337949
645.908,2058.82,L2_-_GND,L3_-_GND,0.00760831,0.00759677,0.00753493
645.908,2058.82,L3_-_GND,L4_-_SECONDARY,0.00759677,0.00759677,-6.4264e-15
645.908,2137.56,L1_-_PRIMARY,L2_-_GND,0.00766824,0.00769661,-0.10513
645.908,2137.56,L2_-_GND,L3_-_GND,0.00769661,0.00772432,-0.0180883
645.908,2137.56,L3_-_GND,L4_-_SECONDARY,0.00772432,0.00772432,-6.4264e-15
673.467,2683.82,L1_-_PRIMARY,L2_-_GND,0.00843243,0.0084349,-0.00917997
673.467,2683.82,L2_-_GND,L3_-_GND,0.0084349,0.00843689,-0.00129546
673.467,2683.82,L3_-_GND,L4_-_SECONDARY,0.00843689,0.00843689,-6.4264e-15
685.278,2019.45,L1_-_PRIMARY,L2_-_GND,0.00763098,0.00760094,0.111272
685.278,2019.45,L2_-_GND,L3_-_GND,0.00760094,0.00758408,0.0110072
685.278,2019.45,L3_-_GND,L4_-_SECONDARY,0.00758408,0.00758408,-6.4264e-15
685.278,2098.19,L1_-_PRIMARY,L2_-_GND,0.0076768,0.00769089,-0.0522067
685.278,2098.19,L2_-_GND,L3_-_GND,0.00769089,0.00771632,-0.0165979
685.278,2098.19,L3_-_GND,L4_-_SECONDARY,0.00771632,0.00771632,-6.4264e-15
718.819,433.074,L1_-_PRIMARY,L2_-_GND,0.0082118,0.0082177,-0.0218579
718.819,433.074,L2_-_GND,L3_-_GND,0.0082177,0.00823392,-0.0105894
718.819,433.074,L3_-_GND,L4_-_SECONDARY,0.00823392,0.00823392,-6.4264e-15
718.819,482.942,L1_-_PRIMARY,L2_-_GND,0.008196,0.00819864,-0.00980149
718.819,482.942,L2_-_GND,L3_-_GND,0.00819864,0.00821211,-0.00878975
718.819,482.942,L3_-_GND,L4_-_SECONDARY,0.00821211,0.00821211,-6.4264e-15
718.819,532.811,L1_-_PRIMARY,L2_-_GND,0.00816488,0.0081707,-0.0215392
