refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,35.98,20,0
VCOMP0,VCOMP0-1,0,-20,0
VCOMP1,VCOMP1-0,35.8573,-4.99111,0.02
VCOMP1,VCOMP1-1,35.8578,-5.01754,0.02
VCOMP1,VCOMP1-2,35.8572,-4.98384,0.02
VCOMP1,VCOMP1-3,35.8576,-5.00752,0.02
VCOMP1,VCOMP1-4,0.106263,5.0031,0.02
VCOMP1,VCOMP1-5,0.106639,4.98429,0.02
VCOMP1,VCOMP1-6,0.105971,5.0177,0.02
VCOMP1,VCOMP1-7,0.106426,4.99491,0.02
VCOMP2,VCOMP2-0,0.0177242,6.71847,0.00702857
VCOMP2,VCOMP2-1,0.0181667,6.65551,0.00702857
VCOMP2,VCOMP2-2,0.018374,6.62602,0.00702857
VCOMP2,VCOMP2-3,0.100498,-5.05541,0.00702857
VCOMP2,VCOMP2-4,0.100047,-4.99128,0.00702857
VCOMP2,VCOMP2-5,0.0998834,-4.96801,0.00702857
VCOMP2,VCOMP2-6,0.100005,-4.9853,0.00702857
VCOMP3,VCOMP3-0,35.9497,-4.9251,0.00702857
VCOMP3,VCOMP3-1,35.95,-4.9694,0.00702857
VCOMP3,VCOMP3-2,35.9503,-5.00965,0.00702857
VCOMP3,VCOMP3-3,35.9509,-5.09586,0.00702857
VCOMP3,VCOMP3-4,35.8673,6.80509,0.00702857
VCOMP3,VCOMP3-5,35.8681,6.68004,0.00702857
VCOMP3,VCOMP3-6,35.8693,6.51487,0.00702857
