refdes,pin,voltage,current
J1,1,35.98,20.0
J1,2,0.0,-20.0
J6,pdna_pin_1_1,35.8459,-5.00307
J6,pdna_pin_1_2,35.8456,-4.98469
J6,pdna_pin_1_3,35.8462,-5.01721
J6,pdna_pin_1_4,35.8458,-4.99502
J4,pdna_pin_1_1,0.129682,5.01382
J4,pdna_pin_1_2,0.130259,4.98497
J4,pdna_pin_1_3,0.129646,5.01563
J4,pdna_pin_1_4,0.130247,4.98558
Q5,8,35.9376,-4.93453
Q5,7,35.9378,-4.9725
Q5,6,35.9381,-5.00691
Q5,5,35.9386,-5.08607
Q5,1,35.8554,6.75823
Q5,2,35.8562,6.64019
Q5,3,35.8565,6.60159
R4,1,0.0148813,20.0
R4,2,0.0349013,-20.0
Q2,1,0.0420488,6.65092
Q2,2,0.0420389,6.65234
Q2,3,0.0417268,6.69674
Q2,8,0.124366,-5.05797
Q2,7,0.124017,-5.0083
Q2,6,0.123716,-4.96552
Q2,5,0.123735,-4.96822
