x,y,layer1,layer2,voltage1,voltage2,current
71.1049,2539.13,L1_-_PRIMARY,L2_-_GND,0.00856486,0.00856087,0.014801
71.1049,2539.13,L2_-_GND,L3_-_GND,0.00856087,0.00848663,0.0484614
71.1049,2539.13,L3_-_GND,L4_-_SECONDARY,0.00848663,0.00848663,-1.28528e-14
71.1049,2589,L1_-_PRIMARY,L2_-_GND,0.00856724,0.00856738,-0.000532405
71.1049,2589,L2_-_GND,L3_-_GND,0.00856738,0.00852405,0.0282859
71.1049,2589,L3_-_GND,L4_-_SECONDARY,0.00852405,0.00852405,-6.4264e-15
71.1049,2638.87,L1_-_PRIMARY,L2_-_GND,0.00856957,0.00856975,-0.000683498
71.1049,2638.87,L2_-_GND,L3_-_GND,0.00856975,0.00853738,0.0211304
71.1049,2638.87,L3_-_GND,L4_-_SECONDARY,0.00853738,0.00853738,-6.4264e-15
71.1049,2688.74,L1_-_PRIMARY,L2_-_GND,0.00857343,0.00857267,0.00279831
71.1049,2688.74,L2_-_GND,L3_-_GND,0.00857267,0.00854669,0.0169576
71.1049,2688.74,L3_-_GND,L4_-_SECONDARY,0.00854669,0.00854669,-6.4264e-15
71.1049,2738.61,L1_-_PRIMARY,L2_-_GND,0.00857508,0.00857448,0.00221632
71.1049,2738.61,L2_-_GND,L3_-_GND,0.00857448,0.0085529,0.0140873
71.1049,2738.61,L3_-_GND,L4_-_SECONDARY,0.0085529,0.0085529,-6.4264e-15
71.1049,2788.47,L1_-_PRIMARY,L2_-_GND,0.00857608,0.00857705,-0.00360843
71.1049,2788.47,L2_-_GND,L3_-_GND,0.00857705,0.00855873,0.0119561
71.1049,2788.47,L3_-_GND,L4_-_SECONDARY,0.00855873,0.00855873,-6.4264e-15
71.1049,2838.34,L1_-_PRIMARY,L2_-_GND,0.00857664,0.00857713,-0.00179082
71.1049,2838.34,L2_-_GND,L3_-_GND,0.00857713,0.00856053,0.0108349
71.1049,2838.34,L3_-_GND,L4_-_SECONDARY,0.00856053,0.00856053,-6.4264e-15
118.349,2716.3,L1_-_PRIMARY,L2_-_GND,0.00857588,0.00857944,-0.0132005
118.349,2716.3,L2_-_GND,L3_-_GND,0.00857944,0.00855046,0.0189204
118.349,2716.3,L3_-_GND,L4_-_SECONDARY,0.00855046,0.00855046,-6.4264e-15
228.585,1629.68,L1_-_PRIMARY,L2_-_GND,0.0065715,0.00644336,0.474702
228.585,1629.68,L2_-_GND,L3_-_GND,0.00644336,0.00632842,0.0750363
228.585,1629.68,L3_-_GND,L4_-_SECONDARY,0.00632842,0.00632842,-6.4264e-15
228.585,1708.42,L1_-_PRIMARY,L2_-_GND,0.00666213,0.00670109,-0.144317
228.585,1708.42,L2_-_GND,L3_-_GND,0.00670109,0.00666112,0.0260921
228.585,1708.42,L3_-_GND,L4_-_SECONDARY,0.00666112,0.00666112,-6.4264e-15
267.955,1842.28,L1_-_PRIMARY,L2_-_GND,0.00743207,0.00743207,1.92792e-14
267.955,1842.28,L2_-_GND,L3_-_GND,0.00743207,0.00734815,0.0547841
267.955,1842.28,L3_-_GND,L4_-_SECONDARY,0.00734815,0.00734815,-6.4264e-15
338.821,1944.64,L1_-_PRIMARY,L2_-_GND,0.00806989,0.00806989,6.4264e-15
338.821,1944.64,L2_-_GND,L3_-_GND,0.00806989,0.00789469,0.114369
338.821,1944.64,L3_-_GND,L4_-_SECONDARY,0.00789469,0.00789469,-6.4264e-15
409.688,1629.68,L1_-_PRIMARY,L2_-_GND,0.00667585,0.0066334,0.157233
409.688,1629.68,L2_-_GND,L3_-_GND,0.0066334,0.00655002,0.054434
409.688,1629.68,L3_-_GND,L4_-_SECONDARY,0.00655002,0.00655002,-3.2132e-15
409.688,1708.42,L1_-_PRIMARY,L2_-_GND,0.00677088,0.00690251,-0.487618
409.688,1708.42,L2_-_GND,L3_-_GND,0.00690251,0.00688141,0.0137736
409.688,1708.42,L3_-_GND,L4_-_SECONDARY,0.00688141,0.00688141,-9.63959e-15
527.583,887.771,L1_-_PRIMARY,L2_-_GND,35.98,35.98,-0
527.583,887.771,L2_-_GND,L3_-_GND,35.98,35.98,-1.90064e-10
527.583,887.771,L3_-_GND,L4_-_SECONDARY,35.98,35.98,-0
527.583,1320.84,L1_-_PRIMARY,L2_-_GND,0,0.000263503,-20
527.583,1320.84,L2_-_GND,L3_-_GND,0.000263503,0.000961472,-9.33504
527.583,1320.84,L3_-_GND,L4_-_SECONDARY,0.000961472,0.000961472,-0
554.763,205.079,L1_-_PRIMARY,L2_-_GND,0.00639742,0.00639742,-5.10322e-14
554.763,205.079,L2_-_GND,L3_-_GND,0.00639742,0.00639842,-0.0103067
554.763,205.079,L3_-_GND,L4_-_SECONDARY,0.00639842,0.00639842,-0
567.168,1980.08,L1_-_PRIMARY,L2_-_GND,0.00999507,0.00952004,1.75975
567.168,1980.08,L2_-_GND,L3_-_GND,0.00952004,0.00871905,0.522879
567.168,1980.08,L3_-_GND,L4_-_SECONDARY,0.00871905,0.00871905,-6.4264e-15
567.168,2058.82,L1_-_PRIMARY,L2_-_GND,0.00994081,0.0096579,1.04804
567.168,2058.82,L2_-_GND,L3_-_GND,0.0096579,0.00899042,0.435721
567.168,2058.82,L3_-_GND,L4_-_SECONDARY,0.00899042,0.00899042,-6.4264e-15
567.168,2137.56,L1_-_PRIMARY,L2_-_GND,0.00980237,0.00956455,0.880998
567.168,2137.56,L2_-_GND,L3_-_GND,0.00956455,0.00900473,0.365445
567.168,2137.56,L3_-_GND,L4_-_SECONDARY,0.00900473,0.00900473,-6.4264e-15
578.979,2724.17,L1_-_PRIMARY,L2_-_GND,0.00868429,0.00868066,0.0134695
578.979,2724.17,L2_-_GND,L3_-_GND,0.00868066,0.00860463,0.0496272
578.979,2724.17,L3_-_GND,L4_-_SECONDARY,0.00860463,0.00860463,-6.4264e-15
606.538,2019.45,L1_-_PRIMARY,L2_-_GND,0.0100591,0.00978023,1.03309
606.538,2019.45,L2_-_GND,L3_-_GND,0.00978023,0.0090244,0.493394
606.538,2019.45,L3_-_GND,L4_-_SECONDARY,0.0090244,0.0090244,-6.4264e-15
606.538,2098.19,L1_-_PRIMARY,L2_-_GND,0.00987778,0.00974027,0.509394
606.538,2098.19,L2_-_GND,L3_-_GND,0.00974027,0.00916095,0.378174
606.538,2098.19,L3_-_GND,L4_-_SECONDARY,0.00916095,0.00916095,-6.4264e-15
614.412,2683.82,L1_-_PRIMARY,L2_-_GND,0.00869508,0.00869449,0.002191
614.412,2683.82,L2_-_GND,L3_-_GND,0.00869449,0.00861936,0.049045
614.412,2683.82,L3_-_GND,L4_-_SECONDARY,0.00861936,0.00861936,-6.4264e-15
645.908,2058.82,L1_-_PRIMARY,L2_-_GND,0.0102125,0.00997904,0.864696
645.908,2058.82,L2_-_GND,L3_-_GND,0.00997904,0.00924352,0.48014
645.908,2058.82,L3_-_GND,L4_-_SECONDARY,0.00924352,0.00924352,-6.4264e-15
645.908,2137.56,L1_-_PRIMARY,L2_-_GND,0.00992533,0.00976767,0.584068
645.908,2137.56,L2_-_GND,L3_-_GND,0.00976767,0.00920254,0.368907
645.908,2137.56,L3_-_GND,L4_-_SECONDARY,0.00920254,0.00920254,-6.4264e-15
673.467,2683.82,L1_-_PRIMARY,L2_-_GND,0.00869467,0.00869253,0.0079118
673.467,2683.82,L2_-_GND,L3_-_GND,0.00869253,0.00862418,0.0446238
673.467,2683.82,L3_-_GND,L4_-_SECONDARY,0.00862418,0.00862418,-6.4264e-15
685.278,2019.45,L1_-_PRIMARY,L2_-_GND,0.010842,0.0102355,2.24672
685.278,2019.45,L2_-_GND,L3_-_GND,0.0102355,0.009203,0.674029
685.278,2019.45,L3_-_GND,L4_-_SECONDARY,0.009203,0.009203,-6.4264e-15
685.278,2098.19,L1_-_PRIMARY,L2_-_GND,0.0101804,0.0100004,0.666645
685.278,2098.19,L2_-_GND,L3_-_GND,0.0100004,0.00931699,0.446147
685.278,2098.19,L3_-_GND,L4_-_SECONDARY,0.00931699,0.00931699,-6.4264e-15
718.819,433.074,L1_-_PRIMARY,L2_-_GND,0.00654352,0.00654538,-0.00691117
718.819,433.074,L2_-_GND,L3_-_GND,0.00654538,0.00654931,-0.00256245
718.819,433.074,L3_-_GND,L4_-_SECONDARY,0.00654931,0.00654931,-6.4264e-15
718.819,482.942,L1_-_PRIMARY,L2_-_GND,0.0065392,0.00654032,-0.00417626
718.819,482.942,L2_-_GND,L3_-_GND,0.00654032,0.00654355,-0.00210529
718.819,482.942,L3_-_GND,L4_-_SECONDARY,0.00654355,0.00654355,-6.4264e-15
718.819,532.811,L1_-_PRIMARY,L2_-_GND,0.00653023,0.0065324,-0.00800562
718.819,532.811,L2_-_GND,L3_-_GND,0.0065324,0.00653566,-0.00213092
718.819,532.811,L3_-_GND,L4_-_SECONDARY,0.00653566,0.00653566,-6.4264e-15
718.819,582.68,L1_-_PRIMARY,L2_-_GND,0.00651871,0.00652243,-0.0137539
718.819,582.68,L2_-_GND,L3_-_GND,0.00652243,0.0065253,-0.00187335
718.819,582.68,L3_-_GND,L4_-_SECONDARY,0.0065253,0.0065253,-6.4264e-15
718.819,632.548,L1_-_PRIMARY,L2_-_GND,0.00651073,0.00650504,0.0210867
718.819,632.548,L2_-_GND,L3_-_GND,0.00650504,0.00649985,0.00338215
718.819,632.548,L3_-_GND,L4_-_SECONDARY,0.00649985,0.00649985,-6.4264e-15
718.819,682.417,L1_-_PRIMARY,L2_-_GND,0.00650032,0.00649196,0.0310017
718.819,682.417,L2_-_GND,L3_-_GND,0.00649196,0.00648525,0.00437886
718.819,682.417,L3_-_GND,L4_-_SECONDARY,0.00648525,0.00648525,-6.4264e-15
722.68,383.204,L1_-_PRIMARY,L2_-_GND,0.00654629,0.00655149,-0.0192414
722.68,383.204,L2_-_GND,L3_-_GND,0.00655149,0.00655768,-0.00404368
722.68,383.204,L3_-_GND,L4_-_SECONDARY,0.00655768,0.00655768,-6.4264e-15
724.648,2058.82,L1_-_PRIMARY,L2_-_GND,0.0105921,0.010233,1.33046
724.648,2058.82,L2_-_GND,L3_-_GND,0.010233,0.00932115,0.595217
724.648,2058.82,L3_-_GND,L4_-_SECONDARY,0.00932115,0.00932115,-6.4264e-15
724.648,2137.56,L1_-_PRIMARY,L2_-_GND,0.0101441,0.0099124,0.85826
724.648,2137.56,L2_-_GND,L3_-_GND,0.0099124,0.0092438,0.436456
724.648,2137.56,L3_-_GND,L4_-_SECONDARY,0.0092438,0.0092438,-6.4264e-15
724.648,2569.84,L1_-_PRIMARY,L2_-_GND,0.00873744,0.0087581,-0.0765499
724.648,2569.84,L2_-_GND,L3_-_GND,0.0087581,0.00865756,0.0656342
724.648,2569.84,L3_-_GND,L4_-_SECONDARY,0.00865756,0.00865756,-6.4264e-15
724.648,2622.6,L1_-_PRIMARY,L2_-_GND,0.00872131,0.00872823,-0.0256481
724.648,2622.6,L2_-_GND,L3_-_GND,0.00872823,0.00864499,0.0543407
724.648,2622.6,L3_-_GND,L4_-_SECONDARY,0.00864499,0.00864499,-6.4264e-15
724.648,2675.35,L1_-_PRIMARY,L2_-_GND,0.00870135,0.00869291,0.0312774
724.648,2675.35,L2_-_GND,L3_-_GND,0.00869291,0.00862,0.0475952
724.648,2675.35,L3_-_GND,L4_-_SECONDARY,0.00862,0.00862,-6.4264e-15
724.648,2728.11,L1_-_PRIMARY,L2_-_GND,0.00869239,0.00867961,0.0473483
724.648,2728.11,L2_-_GND,L3_-_GND,0.00867961,0.00860367,0.0495749
724.648,2728.11,L3_-_GND,L4_-_SECONDARY,0.00860367,0.00860367,-6.4264e-15
764.018,2019.45,L1_-_PRIMARY,L2_-_GND,0.0110422,0.0103518,2.55757
764.018,2019.45,L2_-_GND,L3_-_GND,0.0103518,0.00919792,0.75324
764.018,2019.45,L3_-_GND,L4_-_SECONDARY,0.00919792,0.00919792,-6.4264e-15
764.018,2098.19,L1_-_PRIMARY,L2_-_GND,0.0103602,0.0100607,1.10956
764.018,2098.19,L2_-_GND,L3_-_GND,0.0100607,0.00925323,0.52713
764.018,2098.19,L3_-_GND,L4_-_SECONDARY,0.00925323,0.00925323,-6.4264e-15
836.853,1334.41,L1_-_PRIMARY,L2_-_GND,0.00649787,0.00649787,6.4264e-15
836.853,1334.41,L2_-_GND,L3_-_GND,0.00649787,0.00647202,0.0168722
836.853,1334.41,L3_-_GND,L4_-_SECONDARY,0.00647202,0.00647202,-6.4264e-15
838.822,1976.14,L1_-_PRIMARY,L2_-_GND,0.010816,0.010133,2.53012
838.822,1976.14,L2_-_GND,L3_-_GND,0.010133,0.00898162,0.7516
838.822,1976.14,L3_-_GND,L4_-_SECONDARY,0.00898162,0.00898162,-6.4264e-15
866.381,1921.02,L1_-_PRIMARY,L2_-_GND,0.0104426,0.00989717,2.02065
866.381,1921.02,L2_-_GND,L3_-_GND,0.00989717,0.00883445,0.693733
866.381,1921.02,L3_-_GND,L4_-_SECONDARY,0.00883445,0.00883445,-6.4264e-15
895.908,1546.02,L1_-_PRIMARY,L2_-_GND,0.00728665,0.00728665,6.4264e-15
895.908,1546.02,L2_-_GND,L3_-_GND,0.00728665,0.00715498,0.085951
895.908,1546.02,L3_-_GND,L4_-_SECONDARY,0.00715498,0.00715498,-6.4264e-15
952.994,1814.72,L1_-_PRIMARY,L2_-_GND,0.125722,0.125777,-0.200964
952.994,1814.72,L2_-_GND,L3_-_GND,0.125777,0.126084,-0.200964
952.994,1814.72,L3_-_GND,L4_-_SECONDARY,0.126084,0.126139,-0.200964
952.994,1861.97,L1_-_PRIMARY,L2_-_GND,0.126078,0.126114,-0.134012
952.994,1861.97,L2_-_GND,L3_-_GND,0.126114,0.126319,-0.134012
952.994,1861.97,L3_-_GND,L4_-_SECONDARY,0.126319,0.126355,-0.134012
952.995,1484.01,L1_-_PRIMARY,L2_-_GND,0.124748,0.124788,-0.146772
952.995,1484.01,L2_-_GND,L3_-_GND,0.124788,0.125013,-0.146772
952.995,1484.01,L3_-_GND,L4_-_SECONDARY,0.125013,0.125052,-0.146772
952.995,1531.26,L1_-_PRIMARY,L2_-_GND,0.124729,0.124776,-0.174382
952.995,1531.26,L2_-_GND,L3_-_GND,0.124776,0.125043,-0.174382
952.995,1531.26,L3_-_GND,L4_-_SECONDARY,0.125043,0.12509,-0.174382
952.995,1578.5,L1_-_PRIMARY,L2_-_GND,0.124725,0.124793,-0.251298
952.995,1578.5,L2_-_GND,L3_-_GND,0.124793,0.125177,-0.251298
952.995,1578.5,L3_-_GND,L4_-_SECONDARY,0.125177,0.125245,-0.251298
1003.98,2334.6,L1_-_PRIMARY,L2_-_GND,0.129682,0.129591,2.01744
1003.98,2334.6,L2_-_GND,L3_-_GND,0.129591,0.129072,2.01744
1003.98,2334.6,L3_-_GND,L4_-_SECONDARY,0.129072,0.128981,2.01744
1003.98,2535.39,L1_-_PRIMARY,L2_-_GND,0.130259,0.130158,2.23265
1003.98,2535.39,L2_-_GND,L3_-_GND,0.130158,0.129584,2.23265
1003.98,2535.39,L3_-_GND,L4_-_SECONDARY,0.129584,0.129483,2.23265
1023.86,1436.77,L1_-_PRIMARY,L2_-_GND,0.124746,0.124784,-0.142207
1023.86,1436.77,L2_-_GND,L3_-_GND,0.124784,0.125002,-0.142207
1023.86,1436.77,L3_-_GND,L4_-_SECONDARY,0.125002,0.125041,-0.142207
