refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,35.98,20,0
VCOMP0,VCOMP0-1,0,-20,0
VCOMP1,VCOMP1-0,35.8459,-5.00307,0.02
VCOMP1,VCOMP1-1,35.8456,-4.98469,0.02
VCOMP1,VCOMP1-2,35.8462,-5.01721,0.02
VCOMP1,VCOMP1-3,35.8458,-4.99502,0.02
VCOMP1,VCOMP1-4,0.129682,5.01382,0.02
VCOMP1,VCOMP1-5,0.130259,4.98497,0.02
VCOMP1,VCOMP1-6,0.129646,5.01563,0.02
VCOMP1,VCOMP1-7,0.130247,4.98558,0.02
VCOMP2,VCOMP2-0,35.9376,-4.93453,0.00702857
VCOMP2,VCOMP2-1,35.9378,-4.9725,0.00702857
VCOMP2,VCOMP2-2,35.9381,-5.00691,0.00702857
VCOMP2,VCOMP2-3,35.9386,-5.08607,0.00702857
VCOMP2,VCOMP2-4,35.8554,6.75823,0.00702857
VCOMP2,VCOMP2-5,35.8562,6.64019,0.00702857
VCOMP2,VCOMP2-6,35.8565,6.60159,0.00702857
VCOMP3,VCOMP3-0,0.0148813,20,0.0005
VCOMP3,VCOMP3-1,0.0349013,-20,0.0005
VCOMP4,VCOMP4-0,0.0420488,6.65092,0.00702857
VCOMP4,VCOMP4-1,0.0420389,6.65234,0.00702857
VCOMP4,VCOMP4-2,0.0417268,6.69674,0.00702857
VCOMP4,VCOMP4-3,0.124366,-5.05797,0.00702857
VCOMP4,VCOMP4-4,0.124017,-5.0083,0.00702857
VCOMP4,VCOMP4-5,0.123716,-4.96552,0.00702857
VCOMP4,VCOMP4-6,0.123735,-4.96822,0.00702857
