refdes,pin,voltage,current
J1,1,36.7785,11.4711
J1,2,0.0,-11.4711
J15,1,36.8075,8.52886
J15,2,0.0160207,-8.52886
J7,1,36.7109,-20.0
J7,2,0.0207933,20.0
J13,pdna_pin_1_1,36.7738,-5.55896
J13,pdna_pin_1_2,36.774,-5.91216
J13,pdna_pin_2_1,36.7675,5.97036
J13,pdna_pin_2_2,36.7678,5.50078
Q18,8,36.7566,-2.47922
Q18,7,36.7564,-2.45931
Q18,6,36.7564,-2.46103
Q18,5,36.7565,-2.47773
Q18,2,36.7229,3.29167
Q18,3,36.7229,3.28586
Q18,1,36.7229,3.29975
Q19,8,36.7565,-2.51017
Q19,7,36.7565,-2.507
Q19,6,36.7566,-2.52554
Q19,5,36.7569,-2.58001
Q19,2,36.7223,3.3644
Q19,3,36.7222,3.37261
Q19,1,36.7221,3.38572
R63,1,0.00560471,11.47114
R63,2,0.011346,-11.47114
Q20,5,36.7992,-2.12601
Q20,6,36.7992,-2.12287
Q20,7,36.7993,-2.13369
Q20,8,36.7994,-2.14629
Q20,1,36.7703,2.83279
Q20,2,36.7703,2.83426
Q20,3,36.7702,2.86182
