x,y,layer1,layer2,voltage1,voltage2,current
39.6089,2216.3,L1_-_PRIMARY,L2_-_GND,0.00126472,0.00128166,-0.0627531
39.6089,2216.3,L2_-_GND,L3_-_GND,0.00128166,0.00129294,-0.00736556
39.6089,2216.3,L3_-_GND,L4_-_SECONDARY,0.00129294,0.00127734,0.0577848
63.2303,2298.97,L1_-_PRIMARY,L2_-_GND,0.0012377,0.00124653,-0.0327057
63.2303,2298.97,L2_-_GND,L3_-_GND,0.00124653,0.00125834,-0.00770793
63.2303,2298.97,L3_-_GND,L4_-_SECONDARY,0.00125834,0.00125115,0.0266264
63.2303,2417.08,L1_-_PRIMARY,L2_-_GND,0.00118441,0.00119139,-0.0258522
63.2303,2417.08,L2_-_GND,L3_-_GND,0.00119139,0.0012074,-0.0104549
63.2303,2417.08,L3_-_GND,L4_-_SECONDARY,0.0012074,0.00120321,0.0155341
63.2303,2535.19,L1_-_PRIMARY,L2_-_GND,0.00112234,0.00112882,-0.0239967
63.2303,2535.19,L2_-_GND,L3_-_GND,0.00112882,0.00115184,-0.0150317
63.2303,2535.19,L3_-_GND,L4_-_SECONDARY,0.00115184,0.00115017,0.00620192
63.2303,2653.3,L1_-_PRIMARY,L2_-_GND,0.00105049,0.00105694,-0.0238829
63.2303,2653.3,L2_-_GND,L3_-_GND,0.00105694,0.00109087,-0.0221466
63.2303,2653.3,L3_-_GND,L4_-_SECONDARY,0.00109087,0.00109265,-0.0065998
63.2303,2771.41,L1_-_PRIMARY,L2_-_GND,0.000969906,0.000977238,-0.027162
63.2303,2771.41,L2_-_GND,L3_-_GND,0.000977238,0.00102798,-0.033124
63.2303,2771.41,L3_-_GND,L4_-_SECONDARY,0.00102798,0.00103493,-0.0257587
63.2303,2889.52,L1_-_PRIMARY,L2_-_GND,0.000877782,0.000888746,-0.0406174
63.2303,2889.52,L2_-_GND,L3_-_GND,0.000888746,0.000967167,-0.0511918
63.2303,2889.52,L3_-_GND,L4_-_SECONDARY,0.000967167,0.000977868,-0.0396427
63.2303,3007.63,L1_-_PRIMARY,L2_-_GND,0.000768763,0.000787401,-0.0690479
63.2303,3007.63,L2_-_GND,L3_-_GND,0.000787401,0.000908288,-0.0789134
63.2303,3007.63,L3_-_GND,L4_-_SECONDARY,0.000908288,0.000923748,-0.0572734
63.2303,3125.74,L1_-_PRIMARY,L2_-_GND,0.000664014,0.000693065,-0.107622
63.2303,3125.74,L2_-_GND,L3_-_GND,0.000693065,0.000861065,-0.109668
63.2303,3125.74,L3_-_GND,L4_-_SECONDARY,0.000861065,0.000882111,-0.0779687
63.2303,3243.85,L1_-_PRIMARY,L2_-_GND,0.000607328,0.00064997,-0.157972
63.2303,3243.85,L2_-_GND,L3_-_GND,0.00064997,0.00085745,-0.13544
63.2303,3243.85,L3_-_GND,L4_-_SECONDARY,0.00085745,0.000883257,-0.095605
63.2303,3361.96,L1_-_PRIMARY,L2_-_GND,0.000625612,0.000682724,-0.211577
63.2303,3361.96,L2_-_GND,L3_-_GND,0.000682724,0.000912218,-0.149811
63.2303,3361.96,L3_-_GND,L4_-_SECONDARY,0.000912218,0.000941241,-0.107519
98.664,2216.3,L1_-_PRIMARY,L2_-_GND,0.00126608,0.00128509,-0.07043
98.664,2216.3,L2_-_GND,L3_-_GND,0.00128509,0.00129693,-0.00772738
98.664,2216.3,L3_-_GND,L4_-_SECONDARY,0.00129693,0.00127912,0.0659786
122.285,2830.47,L1_-_PRIMARY,L2_-_GND,0.000942695,0.000950956,-0.0306008
122.285,2830.47,L2_-_GND,L3_-_GND,0.000950956,0.00100584,-0.0358301
122.285,2830.47,L3_-_GND,L4_-_SECONDARY,0.00100584,0.00100564,0.000749807
122.285,2948.58,L1_-_PRIMARY,L2_-_GND,0.000842174,0.000856596,-0.0534303
122.285,2948.58,L2_-_GND,L3_-_GND,0.000856596,0.000952446,-0.0625691
122.285,2948.58,L3_-_GND,L4_-_SECONDARY,0.000952446,0.000965216,-0.047308
157.719,2216.3,L1_-_PRIMARY,L2_-_GND,0.00127268,0.00130079,-0.104131
157.719,2216.3,L2_-_GND,L3_-_GND,0.00130079,0.00131482,-0.00916345
157.719,2216.3,L3_-_GND,L4_-_SECONDARY,0.00131482,0.00128771,0.100437
181.341,2771.41,L1_-_PRIMARY,L2_-_GND,0.00097093,0.000979611,-0.0321586
181.341,2771.41,L2_-_GND,L3_-_GND,0.000979611,0.00103404,-0.0355321
181.341,2771.41,L3_-_GND,L4_-_SECONDARY,0.00103404,0.00104172,-0.0284417
181.341,2889.52,L1_-_PRIMARY,L2_-_GND,0.000881353,0.000893651,-0.0455575
181.341,2889.52,L2_-_GND,L3_-_GND,0.000893651,0.000978004,-0.0550648
181.341,2889.52,L3_-_GND,L4_-_SECONDARY,0.000978004,0.000989857,-0.043908
229.063,2261.09,L1_-_PRIMARY,L2_-_GND,0.00126706,0.00127426,-0.0834155
229.063,2261.09,L2_-_GND,L3_-_GND,0.00127426,0.00128668,-0.0253367
229.063,2261.09,L3_-_GND,L4_-_SECONDARY,0.00128668,0.00128304,0.0421091
229.063,2398.89,L1_-_PRIMARY,L2_-_GND,0.00121612,0.00121869,-0.0298291
229.063,2398.89,L2_-_GND,L3_-_GND,0.00121869,0.00122315,-0.00909033
229.063,2398.89,L3_-_GND,L4_-_SECONDARY,0.00122315,0.00122058,0.0297063
229.063,2536.69,L1_-_PRIMARY,L2_-_GND,0.0011358,0.00114093,-0.0593101
229.063,2536.69,L2_-_GND,L3_-_GND,0.00114093,0.00115716,-0.0331286
229.063,2536.69,L3_-_GND,L4_-_SECONDARY,0.00115716,0.00115626,0.0103733
229.063,2674.48,L1_-_PRIMARY,L2_-_GND,0.00105845,0.00106137,-0.0338305
229.063,2674.48,L2_-_GND,L3_-_GND,0.00106137,0.00107968,-0.0373691
229.063,2674.48,L3_-_GND,L4_-_SECONDARY,0.00107968,0.00108089,-0.0140116
240.396,2830.47,L1_-_PRIMARY,L2_-_GND,0.000954208,0.000964556,-0.0383314
240.396,2830.47,L2_-_GND,L3_-_GND,0.000964556,0.00102981,-0.0425977
240.396,2830.47,L3_-_GND,L4_-_SECONDARY,0.00102981,0.00103144,-0.00605229
240.396,2948.58,L1_-_PRIMARY,L2_-_GND,0.000852449,0.000869671,-0.0638009
240.396,2948.58,L2_-_GND,L3_-_GND,0.000869671,0.000977609,-0.0704604
240.396,2948.58,L3_-_GND,L4_-_SECONDARY,0.000977609,0.000991915,-0.0529993
299.451,2771.41,L1_-_PRIMARY,L2_-_GND,0.000983565,0.000995942,-0.0458492
299.451,2771.41,L2_-_GND,L3_-_GND,0.000995942,0.00106457,-0.0448005
299.451,2771.41,L3_-_GND,L4_-_SECONDARY,0.00106457,0.00107231,-0.0286553
299.451,2889.52,L1_-_PRIMARY,L2_-_GND,0.00090292,0.000917437,-0.0537802
299.451,2889.52,L2_-_GND,L3_-_GND,0.000917437,0.00101351,-0.0627121
