refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,36.7785,21.4711,0
VCOMP0,VCOMP0-1,0,-21.4711,0
VCOMP3,VCOMP3-0,36.8075,8.52886,0
VCOMP3,VCOMP3-1,0.0160207,-8.52886,0
VCOMP1,VCOMP1-0,36.7109,-20,0.005
VCOMP1,VCOMP1-1,0.0207933,20,0.005
VCOMP2,VCOMP2-0,36.7785,-10,0.01
VCOMP2,VCOMP2-1,0,10,0.01
VCOMP4,VCOMP4-0,36.7738,-2.77948,0.0011
VCOMP4,VCOMP4-1,36.774,-2.95608,0.0011
VCOMP4,VCOMP4-2,36.7675,2.98518,0.0011
VCOMP4,VCOMP4-3,36.7678,2.75039,0.0011
VCOMP5,VCOMP5-0,36.7566,-2.47922,0.00582857
VCOMP5,VCOMP5-1,36.7564,-2.45931,0.00582857
VCOMP5,VCOMP5-2,36.7564,-2.46103,0.00582857
VCOMP5,VCOMP5-3,36.7565,-2.47773,0.00582857
VCOMP5,VCOMP5-4,36.7229,3.29167,0.00582857
VCOMP5,VCOMP5-5,36.7229,3.28586,0.00582857
VCOMP5,VCOMP5-6,36.7229,3.29975,0.00582857
VCOMP6,VCOMP6-0,36.7565,-2.51017,0.00582857
VCOMP6,VCOMP6-1,36.7565,-2.507,0.00582857
VCOMP6,VCOMP6-2,36.7566,-2.52554,0.00582857
VCOMP6,VCOMP6-3,36.7569,-2.58001,0.00582857
VCOMP6,VCOMP6-4,36.7223,3.3644,0.00582857
VCOMP6,VCOMP6-5,36.7222,3.37261,0.00582857
VCOMP6,VCOMP6-6,36.7221,3.38572,0.00582857
VCOMP7,VCOMP7-0,0.00560471,5.73557,0.0005
VCOMP7,VCOMP7-1,0.011346,-5.73557,0.0005
VCOMP8,VCOMP8-0,0.011346,-5.73557,0.0005
VCOMP8,VCOMP8-1,0.00560471,5.73557,0.0005
VCOMP9,VCOMP9-0,36.7992,-2.12601,0.00582857
VCOMP9,VCOMP9-1,36.7992,-2.12287,0.00582857
VCOMP9,VCOMP9-2,36.7993,-2.13369,0.00582857
VCOMP9,VCOMP9-3,36.7994,-2.14629,0.00582857
VCOMP9,VCOMP9-4,36.7703,2.83279,0.00582857
VCOMP9,VCOMP9-5,36.7703,2.83426,0.00582857
VCOMP9,VCOMP9-6,36.7702,2.86182,0.00582857
VCOMP10,VCOMP10-0,36.7675,2.98518,0.0011
VCOMP10,VCOMP10-1,36.7678,2.75039,0.0011
VCOMP10,VCOMP10-2,36.7738,-2.77948,0.0011
VCOMP10,VCOMP10-3,36.774,-2.95608,0.0011
